"family","scientificName","analysis","assessment","category","criteria"
"MELASTOMATACEAE","Microlicia subalata","done","comments","CR","B1ab(i,ii,iii,iv)"
"MELASTOMATACEAE","Microlicia suborbicularifolia","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"MELASTOMATACEAE","Microlicia tenuifolia","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"MELASTOMATACEAE","Microlicia trichocalycina","done","comments","CR","B2ab(i,ii,iii,iv)"
"MELASTOMATACEAE","Microlicia vernicosa","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"MELASTOMATACEAE","Pterolepis rotundifolia","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"MELASTOMATACEAE","Trembleya rosmarinoides","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"MONIMIACEAE","Macropeplus schwackeanus","done","comments","VU","B1ab(i,ii,iii,iv)"
"MORACEAE","Dorstenia contensis","done","comments","VU","B1ab(i,ii,iii,iv)"
"MORACEAE","Dorstenia strangii","done","comments","CR","B2ab(i,ii,iii,iv)"
"MORACEAE","Ficus carautana","done","comments","EN","B2ab(i,ii,iii,iv)"
"MYRTACEAE","Calycolpus australis","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"MYRTACEAE","Plinia nana","done","comments","VU","B1ab(iii)+2ab(iii)"
"MYRTACEAE","Psidium firmum","done","comments","LC",""
"OCHNACEAE","Luxemburgia ciliatibracteata","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"OCHNACEAE","Luxemburgia damazioana","done","comments","VU","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"OCHNACEAE","Luxemburgia diciliata","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"OCHNACEAE","Luxemburgia hatschbachiana","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"OCHNACEAE","Luxemburgia speciosa","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"OCHNACEAE","Ouratea acicularis","done","comments","EN","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
"OCHNACEAE","Sauvagesia lanceolata","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"OCHNACEAE","Sauvagesia oliveirae","done","comments","CR","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"OCHNACEAE","Sauvagesia ribeiroi","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"ORCHIDACEAE","Acianthera amaralii","validation","","",""
"ORCHIDACEAE","Dungsia marcaliana","validation","","",""
"ORCHIDACEAE","Habenaria meeana","validation","","",""
"ORCHIDACEAE","Habenaria pseudohamata","validation","","",""
"ORCHIDACEAE","Hadrolaelia praestans","validation","","",""
"ORCHIDACEAE","Hoffmannseggella pendula","validation","","",""
"ORCHIDACEAE","Hoffmannseggella pfisteri","validation","","",""
"ORCHIDACEAE","Leptotes vellozicola","validation","","",""
"ORCHIDACEAE","Sarcoglottis riocontensis","validation","","",""
"OROBANCHACEAE","Esterhazya nanuzae","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"OROBANCHACEAE","Physocalyx scaberrimus","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"OXALIDACEAE","Oxalis areolata","done","comments","DD",""
"OXALIDACEAE","Oxalis pretoensis","done","comments","DD",""
"OXALIDACEAE","Oxalis veadeirosensis","done","comments","DD",""
"PASSIFLORACEAE","Passiflora hypoglauca","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"PASSIFLORACEAE","Passiflora mucugeana","done","comments","EN","B1ab(iii)+2ab(iii)"
"PIPERACEAE","Peperomia warmingii","done","comments","NT",""
"PLANTAGINACEAE","Angelonia pratensis","done","comments","EN","B2ab(i,ii,iii)"
"POACEAE","Andropogon campestris","done","comments","DD",""
"POACEAE","Axonopus aureus","done","comments","LC",""
"POACEAE","Axonopus grandifolius","done","comments","VU","A2c;B1ab(i,iii)"
"POACEAE","Dichanthelium aequivaginatum","done","comments","NT",""
"POACEAE","Dichanthelium assurgens","done","comments","NT",""
"POACEAE","Dichanthelium congestum","done","comments","DD",""
"POACEAE","Dichanthelium sendulskyii","done","comments","DD",""
"POACEAE","Digitaria chaseae","done","comments","DD",""
"POACEAE","Digitaria pampinosa","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"POACEAE","Guadua magna","done","comments","CR","B1ab(i,ii,iii,iv)"
"POACEAE","Mesosetum alatum","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"POACEAE","Mesosetum longiaristatum","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"POACEAE","Ophiochloa bryoides","done","comments","CR","B1ab(i,ii,iii)"
"POACEAE","Otachyrium piligerum","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"POACEAE","Panicum ephemeroides","done","comments","DD",""
"POACEAE","Panicum noterophilum","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"POACEAE","Panicum nutabundum","done","comments","DD",""
"POACEAE","Paspalum biaristatum","done","comments","CR","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"POACEAE","Paspalum brachytrichum","done","comments","NT",""
"POACEAE","Paspalum burmanii","done","comments","DD",""
"POACEAE","Paspalum cachimboense","done","comments","DD",""
"POACEAE","Paspalum filgueirasii","done","comments","DD",""
"POACEAE","Paspalum longiaristatum","done","comments","VU","D2"
"POACEAE","Paspalum petrense","done","comments","EN","B1ab(i,iii)+2ab(i,ii,iii)"
"POACEAE","Paspalum vallsii","done","comments","DD",""
"POACEAE","Rheochloa scabrifolia","done","comments","DD",""
"POACEAE","Rupichloa acuminata","done","comments","DD",""
"POACEAE","Sporobolus hians","done","comments","CR","B2ab(i,ii,iii)"
"POACEAE","Sporobolus paucifolius","done","comments","DD",""
"POACEAE","Streptostachys lanciflora","done","comments","DD",""
"POLYGALACEAE","Asemeia marquesiana","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"POLYGALACEAE","Asemeia pohliana","done","comments","CR","B2ab(i,ii,iii)"
"POLYGALACEAE","Polygala apparicioi","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"POLYGALACEAE","Polygala asperuloides","done","comments","LC",""
"POLYGALACEAE","Polygala bevilacquai","done","comments","CR","B2ab(i,ii,iii)"
"POLYGALACEAE","Polygala grazielae","done","comments","CR","B2ab(i,ii,iii)"
"POLYGALACEAE","Polygala irwinii","done","comments","NT",""
"POLYGALACEAE","Polygala juncea","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"POLYGALACEAE","Polygala malmeana","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"POLYGALACEAE","Polygala patens","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"POLYGALACEAE","Polygala pseudocoriacea","done","comments","CR","B2ab(i,ii,iii)"
"POLYGALACEAE","Polygala pseudoerica","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"POLYGALACEAE","Polygala suganumae","done","comments","CR","B2ab(i,ii,iii,iv)"
"POLYGALACEAE","Polygala trifurcata","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"POLYGALACEAE","Polygala vollii","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"POLYGALACEAE","Securidaca acuminata","done","comments","DD",""
"POLYGONACEAE","Coccoloba cereifera","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"PRIMULACEAE","Myrsine cipoensis","done","comments","DD",""
"RHABDODENDRACEAE","Rhabdodendron gardneranum","done","comments","DD",""
"RUBIACEAE","Borreria amapaensis","done","comments","DD",""
"RUBIACEAE","Borreria burchellii","done","comments","DD",""
"RUBIACEAE","Borreria gracillima","done","comments","NT",""
"RUBIACEAE","Borreria guimaraesensis","done","comments","DD",""
"RUBIACEAE","Borreria irwiniana","done","comments","DD",""
"RUBIACEAE","Borreria paulista","done","comments","VU","A2c"
"RUBIACEAE","Borreria rosmarinifolia","done","comments","DD",""
"RUBIACEAE","Borreria tocantinsiana","done","comments","DD",""
"RUBIACEAE","Diodia macrophylla","done","comments","DD",""
"RUBIACEAE","Galianthe macedoi","done","comments","EN","B2ab(ii,iii)"
"RUBIACEAE","Galianthe matogrossiana","done","comments","DD",""
"RUBIACEAE","Mitracarpus pusillus","done","comments","CR","B1ab(i,iii)"
"RUBIACEAE","Psyllocarpus schwackei","done","comments","VU","B1ab(i,ii,iii)"
"RUBIACEAE","Staelia tocantinsiana","done","comments","EN","B2ab(i,ii,iii)"
"SANTALACEAE","Phoradendron anamariae","done","comments","CR","B2ab(i,ii,iii)"
"SANTALACEAE","Phoradendron dimerostachys","done","comments","EN","B2ab(i,ii,iii,iv)"
"SANTALACEAE","Phoradendron virens","done","comments","CR","B1ab(i,ii,iii,iv)"
"SCHOEPFIACEAE","Schoepfia velutina","done","comments","DD",""
"SCROPHULARIACEAE","Buddleja longiflora","done","comments","CR","B1ab(i,ii,iii,iv)"
"SCROPHULARIACEAE","Buddleja speciosissima","done","comments","VU","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"PLANTAGINACEAE","Philcoxia goiasensis","done","comments","DD",""
"PLANTAGINACEAE","Philcoxia minensis","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"SOLANACEAE","Brunfelsia rupestris","done","comments","VU","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"SOLANACEAE","Solanum eitenii","done","comments","CR","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"SYMPLOCACEAE","Symplocos glaberrima","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"SYMPLOCACEAE","Symplocos insolita","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"SYMPLOCACEAE","Symplocos saxatilis","done","comments","CR","B1ab(i,iii)"
"TURNERACEAE","Piriqueta araguaiana","done","comments","DD",""
"TURNERACEAE","Piriqueta caiapoensis","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"TURNERACEAE","Piriqueta cristobaliae","done","comments","DD",""
"TURNERACEAE","Piriqueta emasensis","done","comments","DD",""
"TURNERACEAE","Piriqueta lourteigiae","done","comments","DD",""
"TURNERACEAE","Turnera asymmetrica","done","comments","DD",""
"TURNERACEAE","Turnera cipoensis","done","comments","VU","B1ab(i,ii,iii)"
"TURNERACEAE","Turnera coccinea","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"TURNERACEAE","Turnera collotricha","done","comments","CR","B1ab(i,iii)"
"TURNERACEAE","Turnera coriacea","done","comments","EN","B1ab(i,ii,iii)"
"TURNERACEAE","Turnera elliptica","done","comments","DD",""
"TURNERACEAE","Turnera foliosa","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"TURNERACEAE","Turnera gardneriana","done","comments","DD",""
"TURNERACEAE","Turnera ignota","done","comments","CR","B2ab(i,ii,iii)"
"TURNERACEAE","Turnera luetzelburgii","done","comments","VU","B1ab(i,ii,iii)"
"TURNERACEAE","Turnera pinifolia","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"TURNERACEAE","Turnera princeps","done","comments","DD",""
"TURNERACEAE","Turnera reginae","done","comments","DD",""
"TURNERACEAE","Turnera revoluta","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"TURNERACEAE","Turnera riedeliana","done","comments","CR","B2ab(i,ii,iii)"
"VELLOZIACEAE","Barbacenia andersonii","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VELLOZIACEAE","Barbacenia blackii","done","comments","VU","A2c;B1ab(i,ii,iii)"
"VELLOZIACEAE","Barbacenia contasana","done","comments","EN","B1ab(i,ii,iii)+2ab(i,iii)"
"VELLOZIACEAE","Barbacenia cylindrica","done","comments","CR","B2ab(ii,iii)"
"VELLOZIACEAE","Barbacenia fulva","done","comments","EN","B2ab(ii,iii)"
"VELLOZIACEAE","Barbacenia glabra","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VELLOZIACEAE","Barbacenia hatschbachii","done","comments","EN","B1ab(i,iii)"
"VELLOZIACEAE","Barbacenia lymansmithii","done","comments","CR","B2ab(i,ii,iii)"
"VELLOZIACEAE","Barbacenia minima","done","comments","DD",""
"VELLOZIACEAE","Barbacenia reflexa","done","comments","CR","B2ab(i,ii,iii)"
"VELLOZIACEAE","Barbacenia regis","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VELLOZIACEAE","Barbacenia umbrosa","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VELLOZIACEAE","Barbacenia williamsii","done","comments","EN","B1ab(i,iii)"
"VELLOZIACEAE","Vellozia bradei","done","comments","CR","B2ab(i,ii,iii)"
"VELLOZIACEAE","Vellozia costata","done","comments","DD",""
"VELLOZIACEAE","Vellozia crinita","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VELLOZIACEAE","Vellozia exilis","done","comments","EN",""
"VELLOZIACEAE","Vellozia graomogolensis","done","comments","DD",""
"VELLOZIACEAE","Vellozia luteola","done","open","EN","B2ab(i,ii,iii)"
"VELLOZIACEAE","Vellozia maxillarioides","done","comments","EN","A2c;B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VELLOZIACEAE","Vellozia prolifera","done","comments","CR","B2ab(i,ii,iii)"
"VELLOZIACEAE","Vellozia sellowii","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VELLOZIACEAE","Vellozia spiralis","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VELLOZIACEAE","Vellozia tillandsioides","done","comments","CR","B1ab(i,iii)"
"VELLOZIACEAE","Vellozia torquata","done","comments","DD",""
"VERBENACEAE","Bouchea chascanoides","done","open","DD",""
"VERBENACEAE","Bouchea fluminensis","done","comments","LC",""
"VERBENACEAE","Lippia ciliata","done","comments","DD",""
"VERBENACEAE","Lippia duartei","done","comments","CR","B1ab(i,ii,iii)"
"VERBENACEAE","Lippia gardneriana","done","comments","VU","B2ab(i,ii,iii)"
"VERBENACEAE","Lippia grandiflora","done","comments","VU","B2ab(i,ii,iii)"
"VERBENACEAE","Lippia macedoi","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VERBENACEAE","Stachytarpheta ajugifolia","done","comments","EN","B2ab(i,ii,iii,iv)"
"VERBENACEAE","Stachytarpheta bicolor","done","comments","LC",""
"VERBENACEAE","Stachytarpheta discolor","done","comments","EN","B1ab(i,ii,iii)+2b(i,ii,iii)"
"VERBENACEAE","Stachytarpheta froesii","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VERBENACEAE","Stachytarpheta galactea","done","comments","DD",""
"VERBENACEAE","Stachytarpheta integrifolia","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VERBENACEAE","Stachytarpheta itambensis","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VERBENACEAE","Stachytarpheta lacunosa","done","comments","VU","B2ab(i,ii,iii)"
"VERBENACEAE","Stachytarpheta lychnitis","done","comments","VU","B1ab(i,ii,iii)"
"VERBENACEAE","Stachytarpheta monachinoi","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VERBENACEAE","Stachytarpheta pohliana","done","comments","DD",""
"VOCHYSIACEAE","Callisthene erythroclada","done","comments","VU","B1ab(iii)+2ab(iii)"
"VOCHYSIACEAE","Qualea elegans","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VOCHYSIACEAE","Vochysia petraea","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"VOCHYSIACEAE","Vochysia pygmaea","done","comments","EN","B1ab(iii)+2ab(iii)"
"VOCHYSIACEAE","Vochysia rotundifolia","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"XYRIDACEAE","Xyris archeri","done","comments","EN","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
"XYRIDACEAE","Xyris diaphanobracteata","done","comments","EN","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
"XYRIDACEAE","Xyris goyazensis","done","comments","EN","B2ab(i,ii,iii,v)"
"XYRIDACEAE","Xyris itambensis","done","comments","DD",""
"XYRIDACEAE","Xyris jataiana","done","comments","DD",""
"XYRIDACEAE","Xyris lanuginosa","done","comments","EN","B2ab(ii,iii,v)"
"XYRIDACEAE","Xyris mertensiana","done","comments","EN","B2ab(i,ii,iii,v)"
"XYRIDACEAE","Xyris obcordata","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"XYRIDACEAE","Xyris paradisiaca","done","comments","EN","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
"XYRIDACEAE","Xyris picea","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"XYRIDACEAE","Xyris pranceana","done","comments","DD",""
"XYRIDACEAE","Xyris rupicola","done","comments","EN","B1ab(i,ii,iii,v)"
"XYRIDACEAE","Xyris spectabilis","done","comments","EN","B2ab(i,ii,iii,v)"
"XYRIDACEAE","Xyris subsetigera","done","comments","EN","B1ab(i,ii,iii,v)"
"XYRIDACEAE","Xyris veruina","done","comments","EN","B1ab(i,ii,iii,v)"
"XYRIDACEAE","Xyris vestita","done","comments","VU","B2ab(i,iii,v)"
"XYRIDACEAE","Xyris villosicarinata","done","comments","DD",""
"ERIOCAULACEAE","Leiothrix fulgida var. milho-verdensis","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"","","open","","",""
"","","open","","",""
